date_jalali,shift,OperatorCode_FK,typeOfWorkers,workerscount,productName,GlazeType,wagon_no,TotalCount,Grade1Count,WasteCount
1404/01/04,1,1,,,91000000,91000001,75,1128,1000,128
1404/01/04,1,1,,,91000000,91000001,41,1504,1360,144
1404/01/04,1,1,,,91000000,91000001,50,1504,1300,204
1404/01/04,1,1,,,91000000,91000001,67,1504,1350,154
1404/01/04,1,1,,,91000000,91000001,64,1504,1320,184
1404/01/04,1,1,,,91000000,91000001,72,1504,1330,174
1404/01/04,1,1,,,91000000,91000001,23,1504,1360,144
1404/01/04,1,1,,,91000000,91000001,54,1504,1380,124
1404/01/04,1,1,,,91000000,91000001,40,1410,1250,160
1404/01/04,1,1,,,91000000,91000001,38,1504,1350,154
1404/01/04,1,1,,,91000000,91000001,61,1480,1350,130
1404/01/04,1,1,,,91000000,91000001,63,1480,1330,150
1404/01/04,1,1,,,92000000,92000001,75,200,180,20
1404/01/04,1,1,,,91000000,91000001,80,154,120,34
1404/01/05,1,1,,,91000000,91000001,80,1350,1210,140
1404/01/05,1,1,,,91000000,91000001,68,1504,1390,114
1404/01/05,1,1,,,91000000,91000001,71,1504,1360,144
1404/01/05,1,1,,,91000000,91000001,31,1504,1370,134
1404/01/05,1,1,,,91000000,91000001,69,1504,1400,104
1404/01/05,1,1,,,91000000,91000001,32,1504,1350,154
1404/01/05,1,1,,,91000000,91000001,11,1504,1380,124
1404/01/05,1,1,,,91000000,91000001,25,1504,1340,164
1404/01/05,1,1,,,92000000,92000001,53,820,610,210
1404/01/05,1,1,,,92000000,92000001,57,820,650,170
1404/01/05,2,2,,,91000000,91000001,51,1504,1350,154
1404/01/05,2,2,,,91000000,91000001,17,1504,1350,154
1404/01/05,2,2,,,91000000,91000001,9,1504,1300,204
1404/01/06,1,1,,,91000000,91000001,28,1504,1340,164
1404/01/06,1,1,,,91000000,91000001,35,1504,1340,164
1404/01/06,1,1,,,91000000,91000001,52,1504,1320,184
1404/01/06,1,1,,,91000000,91000001,8,1504,1350,154
1404/01/06,1,1,,,91000000,91000001,73,1457,1300,157
1404/01/06,1,1,,,91000000,91000001,46,1457,1300,157
1404/01/06,1,1,,,91000000,91000001,43,1504,1320,184
1404/01/06,1,1,,,91000000,91000001,20,1504,1350,154
1404/01/06,1,1,,,91000000,91000001,29,1504,1380,124
1404/01/06,1,1,,,93000000,93000001,73,22,15,7
1404/01/06,2,2,,,91000000,91000001,47,1504,1330,174
1404/01/06,2,2,,,91000000,91000001,34,1504,1340,164
1404/01/06,2,2,,,91000000,91000001,49,1504,1330,174
1404/01/06,2,2,,,91000000,91000001,55,1504,1370,134
1404/01/06,2,2,,,91000000,91000001,66,1504,1370,134
1404/01/06,2,2,,,91000000,91000001,10,74,60,14
1404/01/07,1,1,,,91000000,91000001,10,1430,1260,170
1404/01/07,1,1,,,91000000,91000001,70,1504,1320,184
1404/01/07,1,1,,,91000000,91000001,27,1504,1300,204
1404/01/07,1,1,,,91000000,91000001,39,1457,1300,157
1404/01/07,1,1,,,91000000,91000001,4,1504,1250,254
1404/01/07,1,1,,,91000000,91000001,24,1504,1320,184
1404/01/07,1,1,,,91000000,91000001,6,1504,1300,204
1404/01/07,1,1,,,91000000,91000001,60,1504,1350,154
1404/01/07,1,1,,,91000000,91000001,16,1504,1360,144
1404/01/07,1,1,,,91000000,91000001,56,1504,1360,144
1404/01/07,1,1,,,91000000,91000001,65,1504,1300,204
1404/01/07,1,1,,,91000000,91000001,19,1504,1320,184
1404/01/07,1,1,,,91000000,91000001,7,284,260,24
1404/01/07,1,1,,,93000000,93000001,39,14,10,4
1404/01/08,1,1,,,91000000,91000001,7,1220,1080,140
1404/01/08,1,1,,,91000000,91000001,13,1504,1300,204
1404/01/08,1,1,,,91000000,91000001,78,1504,1230,274
1404/01/08,1,1,,,91000000,91000001,21,1504,1280,224
1404/01/08,1,1,,,91000000,91000001,58,1504,1250,254
1404/01/08,1,1,,,91000000,91000001,59,1504,1200,304
1404/01/08,1,1,,,91000000,91000001,45,1504,1250,254
1404/01/08,1,1,,,91000000,91000001,76,1504,1300,204
1404/01/08,1,1,,,91000000,91000001,5,1504,1210,294
1404/01/08,1,1,,,91000000,91000001,79,1504,1300,204
1404/01/08,1,1,,,91000000,91000001,36,1457,1200,257
1404/01/08,1,1,,,93000000,93000001,36,22,16,6
1404/01/09,1,2,,,91000000,91000001,30,1504,1300,204
1404/01/09,1,2,,,91000000,91000001,15,1504,1300,204
1404/01/09,1,2,,,91000000,91000001,3,1504,1320,184
1404/01/09,1,2,,,91000000,91000001,37,1504,1300,204
1404/01/09,1,2,,,91000000,91000001,12,1504,1300,204
1404/01/09,1,2,,,91000000,91000001,74,1504,1310,194
1404/01/09,1,2,,,91000000,91000001,18,1504,1320,184
1404/01/09,1,2,,,91000000,91000001,77,1504,1300,204
1404/01/09,1,2,,,91000000,91000001,14,1504,1250,254
1404/01/09,1,2,,,91000000,91000001,42,1504,1300,204
1404/01/09,1,2,,,91000000,91000001,75,1504,1250,254
1404/01/09,1,2,,,91000000,91000001,26,1504,1350,154
1404/01/09,2,1,,,91000000,91000001,50,1504,1300,204
1404/01/09,2,1,,,91000000,91000001,41,1480,1200,280
1404/01/09,2,1,,,91000000,91000001,67,1504,1300,204
1404/01/10,1,2,,,91000000,91000001,38,1504,1380,124
1404/01/10,1,2,,,91000000,91000001,54,1504,1360,144
1404/01/10,1,2,,,91000000,91000001,23,1504,1380,124
1404/01/10,1,2,,,91000000,91000001,40,1504,1380,124
1404/01/10,1,2,,,91000000,91000001,64,1504,1350,154
1404/01/10,1,2,,,91000000,91000001,61,1504,1300,204
1404/01/10,1,2,,,91000000,91000001,80,1410,1300,110
1404/01/10,1,2,,,91000000,91000001,72,1410,1250,160
1404/01/10,1,2,,,91000000,91000001,57,118,100,18
1404/01/10,1,2,,,93000000,93000001,80,40,28,12
1404/01/10,1,2,,,93000000,93000001,72,40,38,2
1404/01/10,1,2,,,93000000,93000001,57,22,17,5
1404/01/10,2,1,,,91000000,91000001,57,1339,1160,179
1404/01/10,2,1,,,91000000,91000001,11,1504,1000,504
1404/01/10,2,1,,,91000000,91000001,32,1480,1240,240
1404/01/10,2,1,,,93000000,93000001,32,10,8,2
1404/01/14,1,2,,,91000000,91000001,17,1504,1300,204
1404/01/14,1,2,,,91000000,91000001,47,1504,1320,184
1404/01/14,1,2,,,91000000,91000001,21,1504,1330,174
1404/01/14,1,2,,,91000000,91000001,65,1504,1350,154
1404/01/14,1,2,,,91000000,91000001,78,1504,1250,254
1404/01/14,1,2,,,91000000,91000001,13,1504,1350,154
1404/01/14,1,2,,,91000000,91000001,7,1504,1280,224
1404/01/14,1,2,,,91000000,91000001,19,1504,1330,174
1404/01/14,1,2,,,91000000,91000001,56,1504,1280,224
1404/01/14,1,2,,,91000000,91000001,60,1504,1290,214
1404/01/14,1,2,,,91000000,91000001,5,1504,1350,154
1404/01/14,1,2,,,91000000,91000001,39,1504,1330,174
1404/01/14,1,2,,,91000000,91000001,79,54,40,14
1404/01/16,1,2,,,91000000,91000001,79,1450,1330,120
1404/01/16,1,2,,,91000000,91000001,15,1504,1380,124
1404/01/16,1,2,,,91000000,91000001,36,1504,1340,164
1404/01/16,1,2,,,91000000,91000001,58,1504,1330,174
1404/01/16,1,2,,,91000000,91000001,59,1504,1280,224
1404/01/16,1,2,,,91000000,91000001,45,1504,1310,194
1404/01/16,1,2,,,91000000,91000001,76,1504,1340,164
1404/01/16,1,2,,,91000000,91000001,67,1504,1350,154
1404/01/16,1,2,,,91000000,91000001,41,1504,1370,134
1404/01/16,1,2,,,91000000,91000001,50,1504,1380,124
1404/01/16,1,2,,,91000000,91000001,37,1457,1300,157
1404/01/16,1,2,,,91000000,91000001,12,1410,1270,140
1404/01/16,1,2,,,91000000,91000001,16,1480,1270,210
1404/01/16,1,2,,,93000000,93000001,37,22,18,4
1404/01/16,1,2,,,93000000,93000001,12,12,10,2
1404/01/16,1,2,,,91000000,91000001,54,164,150,14
1404/01/16,2,1,,,91000000,91000001,54,1340,1220,120
1404/01/16,2,1,,,91000000,91000001,38,1504,1380,124
1404/01/16,2,1,,,91000000,91000001,26,1504,1300,204
1404/01/16,2,1,,,91000000,91000001,23,1504,1370,134
1404/01/16,2,1,,,91000000,91000001,40,154,130,24
1404/01/17,1,1,,,91000000,91000001,40,1350,1200,150
1404/01/17,1,1,,,91000000,91000001,64,1504,1370,134
1404/01/17,1,1,,,91000000,91000001,4,1504,1300,204
1404/01/17,1,1,,,91000000,91000001,24,1504,1300,204
1404/01/17,1,1,,,91000000,91000001,6,1504,1280,224
1404/01/17,1,1,,,91000000,91000001,61,1504,1240,264
1404/01/17,1,1,,,91000000,91000001,72,1504,1320,184
1404/01/17,1,1,,,91000000,91000001,18,1504,1350,154
1404/01/17,1,1,,,91000000,91000001,77,1504,1330,174
1404/01/17,1,1,,,91000000,91000001,75,1504,1380,124
1404/01/17,1,1,,,91000000,91000001,42,1504,1370,134
1404/01/17,1,1,,,91000000,91000001,14,1504,1360,144
1404/01/17,1,1,,,91000000,91000001,80,1410,1200,210
1404/01/17,1,1,,,93000000,93000001,80,40,12,28
1404/01/17,2,2,,,91000000,91000001,11,1410,1300,110
1404/01/17,2,2,,,91000000,91000001,57,1504,1350,154
1404/01/17,2,2,,,91000000,91000001,2,1504,1350,154
1404/01/17,2,2,,,93000000,93000001,11,34,14,20
1404/01/18,1,1,,,91000000,91000001,46,1480,1320,160
1404/01/18,1,1,,,91000000,91000001,52,1480,1280,200
1404/01/18,1,1,,,91000000,91000001,35,1480,1280,200
1404/01/18,1,1,,,91000000,91000001,28,1470,1250,220
1404/01/18,1,1,,,91000000,91000001,1,1480,1320,160
1404/01/18,1,1,,,91000000,91000001,9,1480,1330,150
1404/01/18,1,1,,,91000000,91000001,43,1480,1300,180
1404/01/18,1,1,,,91000000,91000001,44,1480,1350,130
1404/01/18,1,1,,,91000000,91000001,74,1504,1280,224
1404/01/18,1,1,,,91000000,91000001,3,1504,1360,144
1404/01/18,1,1,,,91000000,91000001,30,1504,1360,144
1404/01/18,1,1,,,91000000,91000001,27,1504,1250,254
1404/01/18,1,1,,,91000000,91000001,63,140,120,20
1404/01/18,1,1,,,93000000,93000001,63,42,28,14
1404/01/18,2,2,,,91000000,91000001,63,1270,1150,120
1404/01/18,2,2,,,91000000,91000001,29,1504,1300,204
1404/01/18,2,2,,,91000000,91000001,49,194,150,44
1404/01/19,1,1,,,91000000,91000001,49,1310,1050,260
1404/01/19,1,1,,,91000000,91000001,34,1480,1260,220
1404/01/19,1,1,,,91000000,91000001,51,1480,1150,330
1404/01/19,1,1,,,91000000,91000001,8,1480,1280,200
1404/01/19,1,1,,,91000000,91000001,73,1504,1250,254
1404/01/19,1,1,,,91000000,91000001,66,1480,1300,180
1404/01/19,1,1,,,91000000,91000001,55,1480,1250,230
1404/01/19,1,1,,,91000000,91000001,20,1480,1320,160
1404/01/19,1,1,,,91000000,91000001,68,1504,1360,144
1404/01/19,1,1,,,91000000,91000001,32,1504,1340,164
1404/01/19,1,1,,,91000000,91000001,10,1504,1340,164
1404/01/19,1,1,,,91000000,91000001,47,1504,1300,204
1404/01/19,2,2,,,91000000,91000001,17,1504,1370,134
1404/01/19,2,2,,,91000000,91000001,71,1504,1380,124
1404/01/19,2,2,,,91000000,91000001,31,1457,1330,127
1404/01/19,2,2,,,91000000,91000001,70,160,120,40
1404/01/19,2,2,,,93000000,93000001,31,22,17,5
1404/01/20,1,1,,,91000000,91000001,70,1344,1200,144
1404/01/20,1,1,,,91000000,91000001,19,1504,1350,154
1404/01/20,1,1,,,91000000,91000001,65,1504,1350,154
1404/01/20,1,1,,,91000000,91000001,7,1504,1350,154
1404/01/20,1,1,,,91000000,91000001,13,1504,1300,204
1404/01/20,1,1,,,91000000,91000001,78,1504,1370,134
1404/01/20,1,1,,,91000000,91000001,21,1504,1360,144
1404/01/20,1,1,,,91000000,91000001,69,1504,1300,204
1404/01/20,1,1,,,91000000,91000001,53,1504,1360,144
1404/01/20,1,1,,,91000000,91000001,25,1504,1380,124
1404/01/20,1,1,,,91000000,91000001,56,1410,1280,130
1404/01/20,2,2,,,91000000,91000001,39,1504,1300,204
1404/01/20,2,2,,,91000000,91000001,60,1504,1300,204
1404/01/21,1,1,,,91000000,91000001,45,1504,1300,204
1404/01/21,1,1,,,91000000,91000001,59,1504,1340,164
1404/01/21,1,1,,,91000000,91000001,36,1504,1280,224
1404/01/21,1,1,,,91000000,91000001,5,1504,1350,154
1404/01/21,1,1,,,91000000,91000001,79,1504,1350,154
1404/01/21,1,1,,,91000000,91000001,12,1504,1350,154
1404/01/21,1,1,,,91000000,91000001,15,1504,1270,234
1404/01/21,1,1,,,91000000,91000001,16,1504,1300,204
1404/01/21,1,1,,,91000000,91000001,58,1504,1260,244
1404/01/23,1,2,,,91000000,91000001,3,1504,1360,144
1404/01/23,1,2,,,91000000,91000001,1,1504,1370,134
