date_jalali,shift,supervisorID,OperatorCode_FK,personnel_count,chamber_no,productName,fingers_count,columns_count,dryer_waste,ID
1404/1/7,1,1,9,3,18,91000000,7,2,150,1404010718
1404/1/7,1,1,9,3,12,91000000,8,,141,1404010712
1404/1/7,1,1,9,3,24,91000000,8,,143,1404010724
1404/1/9,1,1,9,3,5,91000000,8,,131,1404010905
1404/1/9,1,1,9,3,20,91000000,8,,142,1404010920
1404/1/9,2,2,10,3,32,91000000,8,,130,1404010932
1404/1/9,2,2,10,3,8,91000000,8,,150,1404010908
1404/1/9,2,2,10,3,26,91000000,8,,166,1404010926
1404/1/9,2,2,10,3,16,91000000,8,,176,1404010916
1404/1/9,2,2,10,3,13,91000000,3,1,54,1404010913
1404/1/9,1,1,9,3,13,91000000,4,2,85,1404010913
1404/1/9,1,1,9,3,2,91000000,8,,149,1404010902
1404/1/9,1,1,9,3,31,91000000,8,,141,1404010931
1404/1/10,1,1,9,3,7,91000000,7,,127,1404011007
1404/1/10,1,1,9,3,19,91000000,7,,126,1404011019
1404/1/10,1,1,9,3,27,91000000,8,,156,1404011027
1404/1/10,2,2,10,3,11,91000000,7,,126,1404011011
1404/1/10,2,2,10,3,3,91000000,8,,201,1404011003
1404/1/10,2,2,10,3,21,91000000,8,,159,1404011021
1404/1/10,2,2,10,3,9,91000000,3,1,70,1404011009
1404/1/10,1,1,9,3,9,91000000,4,2,98,1404011009
1404/1/10,1,1,9,3,25,91000000,8,,146,1404011025
1404/1/10,1,1,9,3,28,91000000,7,,188,1404011028
1404/1/10,1,1,9,3,22,91000000,8,,153,1404011022
1404/1/14,1,1,9,3,14,91000000,7,,240,1404011414
1404/1/14,1,1,9,3,4,91000000,3,1,38,1404011404
1404/1/14,1,2,10,3,4,91000000,4,2,130,1404011404
1404/1/14,1,2,10,3,29,91000000,8,,160,1404011429
1404/1/14,1,2,10,3,23,91000000,8,,105,1404011423
1404/1/14,1,2,10,3,17,91000000,8,,335,1404011417
1404/1/16,1,2,10,3,15,91000000,8,,250,1404011615
1404/1/16,2,1,9,3,6,91000000,7,,298,1404011606
1404/1/16,2,1,9,3,10,91000000,8,,156,1404011610
1404/1/16,2,1,9,3,30,91000000,8,,142,1404011630
1404/1/16,2,1,9,3,18,91000000,8,,175,1404011618
1404/1/16,2,1,9,3,12,91000000,6,2,176,1404011612
1404/1/16,1,2,10,3,12,91000000,1,1,50,1404011612
1404/1/16,1,2,10,3,24,91000000,8,,148,1404011624
1404/1/16,1,2,10,3,5,91000000,8,,278,1404011605
1404/1/16,1,2,10,3,20,91000000,8,,207,1404011620
1404/1/17,1,2,10,3,8,91000000,8,,269,1404011708
1404/1/17,1,2,10,3,32,91000000,8,,209,1404011732
1404/1/17,2,1,9,3,26,91000000,7,,149,1404011726
1404/1/17,2,1,9,3,16,91000000,8,,165,1404011716
1404/1/17,2,1,9,3,13,91000000,8,,156,1404011713
1404/1/17,2,1,9,3,2,91000000,8,,147,1404011702
1404/1/17,2,1,9,3,31,91000000,5,1,91,1404011731
1404/1/17,1,2,10,3,31,91000000,2,2,56,1404011731
1404/1/18,1,2,10,3,7,91000000,8,,135,1404011807
1404/1/18,1,2,10,3,19,91000000,8,,142,1404011819
1404/1/18,1,2,10,3,27,91000000,8,,135,1404011827
1404/1/18,1,2,10,3,11,91000000,7,,118,1404011811
1404/1/18,1,2,10,3,3,91000000,3,1,87,1404011803
1404/1/18,1,1,9,3,3,91000000,4,2,51,1404011803
1404/1/18,1,1,9,3,21,91000000,8,,145,1404011821
1404/1/19,1,1,9,3,9,91000000,8,,143,1404011909
1404/1/19,1,1,9,3,25,91000000,8,,141,1404011925
1404/1/19,1,1,9,3,28,91000000,8,,148,1404011928
1404/1/19,1,1,9,3,14,91000000,8,,130,1404011914
1404/1/19,2,2,10,3,22,91000000,8,,135,1404011922
1404/1/19,2,2,10,3,4,91000000,8,,142,1404011904
1404/1/20,2,2,10,3,29,91000000,8,,141,1404012029
1404/1/20,2,2,10,3,23,91000000,2,2,53,1404012023
1404/1/20,1,1,9,3,23,91000000,5,1,38,1404012023
1404/1/20,1,1,9,3,17,91000000,8,,203,1404012017
1404/1/20,1,1,9,3,15,91000000,8,,209,1404012015
1404/1/20,1,1,9,3,6,91000000,8,,109,1404012006
1404/1/20,1,1,9,3,10,91000000,8,,162,1404012010
1404/1/20,2,2,10,3,30,91000000,8,,161,1404012030
1404/1/20,2,2,10,3,18,91000000,8,,41,1404012018
1404/1/21,2,2,10,3,12,91000000,5,,40,1404012112
1404/1/21,1,1,9,3,12,91000000,3,,52,1404012112
1404/1/21,1,1,9,3,24,91000000,8,,25,1404012124
1404/1/21,1,1,9,3,20,91000000,8,,147,1404012120
1404/1/23,1,1,9,3,8,91000000,8,,106,1404012308
1404/1/23,1,1,9,3,5,91000000,8,,54,1404012305
1404/1/23,1,1,9,3,32,91000000,4,2,77,1404012332
1404/1/23,2,2,10,3,1,92000000,8,,843,1404012301
1404/1/23,1,1,9,3,32,91000000,3,1,88,1404012332
1404/1/24,1,1,9,3,26,91000000,8,,157,1404012426
1404/1/24,1,1,9,3,16,91000000,8,,169,1404012416
1404/1/24,1,1,9,3,13,91000000,8,,40,1404012413
1404/1/24,1,1,9,3,2,91000000,8,,106,1404012402
1404/1/24,1,1,9,3,31,91000000,4,1,130,1404012431
1404/1/24,1,1,9,3,31,91000000,3,2,71,1404012431
1404/1/24,1,1,9,3,7,91000000,8,,262,1404012407
1404/1/24,1,1,9,3,19,91000000,8,,157,1404012419
1404/1/24,1,1,9,3,27,91000000,7,,275,1404012427
1404/1/24,1,1,9,3,11,91000000,7,,150,1404012411
1404/1/24,1,1,9,3,29,91000000,8,,201,1404012429
1404/1/25,2,2,10,3,23,91000000,8,,157,1404012523
1404/1/25,2,2,10,3,17,91000000,8,,242,1404012517
1404/1/25,2,2,10,3,15,91000000,5,2,90,1404012515
1404/1/25,1,1,9,3,15,91000000,2,1,20,1404012515
1404/1/25,1,1,9,3,6,91000000,8,,139,1404012506
1404/1/25,1,1,9,3,10,91000000,8,,109,1404012510
1404/1/25,1,1,9,3,18,91000000,3,1,98,1404012518
1404/1/26,1,2,10,3,18,91000000,4,2,52,1404012618
1404/1/26,1,2,10,3,4,91000000,8,,109,1404012604
1404/1/26,1,2,10,3,14,91000000,8,,148,1404012614
1404/1/26,1,2,10,3,30,91000000,8,,151,1404012630
1404/1/26,1,2,10,3,12,91000000,8,,170,1404012612
1404/1/27,1,2,10,3,24,91000000,8,,229,1404012724
1404/1/27,1,2,10,3,1,91000000,8,,169,1404012701
1404/1/27,1,2,10,3,20,91000000,8,,152,1404012720
1404/1/27,1,2,10,3,5,91000000,8,,143,1404012705
1404/1/27,1,2,10,3,32,91000000,8,,249,1404012732
1404/1/27,1,2,10,3,26,91000000,8,,156,1404012726
1404/1/28,2,1,9,3,16,91000000,8,,145,1404012816
1404/1/28,2,1,9,3,13,91000000,8,,143,1404012813
1404/1/28,2,1,9,3,2,91000000,8,,148,1404012802
1404/1/30,2,1,9,3,7,91000000,8,,137,1404013007
1404/1/30,2,1,9,3,31,91000000,2,,34,1404013031
1404/1/30,1,2,10,3,31,91000000,6,,96,1404013031
1404/1/30,1,2,10,3,19,91000000,8,,129,1404013019
1404/1/30,1,2,10,3,27,91000000,8,,121,1404013027
1404/1/30,1,2,10,3,11,91000000,8,,136,1404013011
1404/1/30,1,2,10,3,29,91000000,8,,170,1404013029
1404/1/30,1,2,10,3,3,91000000,1,,20,1404013003
1404/1/30,2,1,9,3,8,92000000,8,,681,1404013008
1404/1/30,1,2,10,3,3,91000000,7,,152,1404013003
1404/1/30,1,2,10,3,23,91000000,8,,103,1404013023
1404/1/31,1,2,10,3,17,91000000,8,,175,1404013117
1404/1/31,1,2,10,3,21,91000000,8,,148,1404013121
1404/1/31,1,2,10,3,15,91000000,4,2,87,1404013115
1404/1/31,1,2,10,3,15,91000000,3,1,58,1404013115
1404/1/31,1,2,10,3,6,91000000,8,,148,1404013106
1404/1/31,1,2,10,3,25,91000000,8,,147,1404013125
1404/2/1,1,2,10,3,28,91000000,8,,101,1404020128
1404/2/1,1,2,10,3,10,91000000,8,,100,1404020110
1404/2/1,1,2,10,3,18,91000000,2,,32,1404020118
1404/2/1,1,2,10,3,18,91000000,6,,216,1404020118
1404/2/1,1,2,10,3,4,91000000,8,,140,1404020104
1404/2/1,1,2,10,3,12,91000000,5,,106,1404020112
1404/2/2,1,2,11,3,12,91000000,3,,25,1404020212
1404/2/2,1,1,11,3,30,91000000,8,,130,1404020230
1404/2/2,1,1,11,3,14,91000000,8,,70,1404020214
1404/2/2,1,1,11,3,24,91000000,8,,103,1404020224
1404/2/2,1,1,11,3,1,91000000,8,,142,1404020201
1404/2/2,2,2,10,3,20,91000000,8,,102,1404020220
1404/2/3,2,2,10,3,5,91000000,8,,136,1404020305
1404/2/3,2,2,10,3,32,91000000,8,,100,1404020332
1404/2/3,2,2,10,3,26,91000000,8,,20,1404020326
1404/2/3,2,2,10,3,16,91000000,8,,160,1404020316
1404/2/3,2,2,10,3,13,91000000,1,2,38,1404020313
1404/2/3,1,2,10,3,13,91000000,6,1,110,1404020313
1404/2/3,1,2,10,3,2,91000000,8,,106,1404020302
1404/2/3,1,2,10,3,7,91000000,8,,128,1404020307
1404/2/3,1,2,10,3,31,91000000,8,,141,1404020331
1404/2/6,1,2,10,3,19,91000000,8,,141,1404020619
1404/2/6,1,2,10,3,11,91000000,1,1,15,1404020611
1404/2/6,1,1,11,3,11,91000000,5,2,31,1404020611
1404/2/6,1,1,11,3,29,91000000,8,,103,1404020629
1404/2/6,1,1,11,3,8,91000000,8,,147,1404020608
1404/2/6,1,1,11,3,23,91000000,8,,148,1404020623
1404/2/6,1,1,11,3,3,91000000,8,,153,1404020603
1404/2/6,1,1,11,3,17,91000000,2,1,47,1404020617
1404/2/6,1,1,11,3,17,91000000,5,2,,1404020617
1404/2/7,1,1,11,3,21,91000000,8,,40,1404020721
1404/2/7,1,1,11,3,25,91000000,8,,102,1404020725
1404/2/7,1,1,11,3,15,91000000,8,,162,1404020715
1404/2/7,1,1,11,3,10,91000000,8,,144,1404020710
1404/2/7,1,1,11,3,6,91000000,2,2,34,1404020706
1404/2/7,1,1,11,3,6,91000000,5,1,105,1404020706
1404/2/7,1,1,11,3,28,91000000,8,,142,1404020728
1404/2/8,1,1,11,3,4,91000000,8,,135,1404020804
1404/2/8,1,1,11,3,18,91000000,8,,138,1404020818
1404/2/8,1,1,11,3,9,91000000,8,,157,1404020809
1404/2/8,2,2,10,3,22,91000000,8,,132,1404020822
1404/2/8,2,2,10,3,12,91000000,8,,158,1404020812
1404/2/8,2,2,10,3,30,91000000,8,,143,1404020830
1404/2/9,2,2,10,3,14,91000000,6,,33,1404020914
1404/2/9,1,2,10,3,14,91000000,2,,110,1404020914
1404/2/9,1,2,10,3,24,91000000,8,,14,1404020924
1404/2/9,1,2,10,3,1,91000000,7,,112,1404020901
1404/2/9,1,2,10,3,20,91000000,7,,10,1404020920
1404/2/10,1,2,10,3,5,91000000,8,,145,1404021005
1404/2/10,1,2,10,3,32,91000000,8,,234,1404021032
1404/2/10,2,1,11,3,26,91000000,8,,127,1404021026
1404/2/10,2,1,11,3,16,91000000,7,,200,1404021016
1404/2/10,2,1,11,3,7,91000000,8,,168,1404021007
1404/2/10,2,1,11,3,19,91000000,8,,50,1404021019
1404/2/10,2,1,11,3,11,91000000,7,,150,1404021011
1404/2/10,1,2,10,3,31,91000000,8,,103,1404021031
1404/2/10,1,2,10,3,13,91000000,8,,105,1404021013
1404/2/10,1,2,10,3,29,91000000,8,,100,1404021029
1404/2/10,1,2,10,3,3,91000000,1,,17,1404021003
1404/2/13,2,1,11,3,27,92000000,8,,1130,1404021327
1404/2/13,1,2,10,3,3,91000000,7,,122,1404021303
1404/2/13,1,2,10,3,8,91000000,8,,127,1404021308
1404/2/13,1,2,10,3,17,91000000,8,,147,1404021317
1404/2/13,1,2,10,3,2,91000000,8,,143,1404021302
1404/2/13,1,2,10,3,21,91000000,8,,132,1404021321
1404/2/13,1,2,10,3,25,91000000,,1,1,1404021325
1404/2/13,1,2,10,3,25,91000000,7,2,146,1404021325
1404/2/13,1,2,10,3,15,91000000,8,,142,1404021315
1404/2/13,1,2,10,3,10,91000000,8,,104,1404021310
1404/2/14,1,2,10,3,23,91000000,8,,147,1404021423
1404/2/14,1,2,10,3,6,91000000,4,2,68,1404021406
1404/2/14,1,2,10,3,6,91000000,3,1,58,1404021406
1404/2/14,1,2,10,3,28,91000000,8,,22,1404021428
1404/2/14,1,2,10,3,4,91000000,8,,105,1404021404
